desc,physicalObject,OSMtidyStage,category_OSMtidy,category_mod
Sports and games; Indoor facility (climbing),Sports facilities (indoor),fromFilters,Sports and games,Sports and games
Sports and games; Swimming pool,Sports facilities (indoor),fromFilters,Sports and games,Sports and games
Sports and games; Outdoor solid facility,"Sports facilities (outdoor, impermeable)",fromFilters,Sports and games,Sports and games
Sports and games; Clubhouse and facilities,"Sports facilities (outdoor, impermeable, with club)",fromFilters,Sports and games,Sports and games
Sports and games; Clubhouse and outdoor solid facility,"Sports facilities (outdoor, impermeable, with club)",fromFilters,Sports and games,Sports and games
Golf; Green,"Sports facilities (outdoor, permeable)",fromFilters,Golf,Sports and games
Golf; Practice grounds,"Sports facilities (outdoor, permeable)",fromFilters,Golf,Sports and games
Sports and games; Fitness stations and outdoor gyms,"Sports facilities (outdoor, permeable)",fromFilters,Sports and games,Sports and games
Sports and games; Outdoor facility,"Sports facilities (outdoor, permeable)",fromFilters,Sports and games,Sports and games
Sports and games; Outdoor facility (golf),"Sports facilities (outdoor, permeable)",fromFilters,Sports and games,Sports and games
Sports and games; Recreation ground,"Sports facilities (outdoor, permeable)",fromFilters,Sports and games,Sports and games
Sports and games; Clubhouse and outdoor facility,"Sports facilities (outdoor, permeable, with club)",fromFilters,Sports and games,Sports and games
Sports and games; Clubhouse and outdoor facility (golf),"Sports facilities (outdoor, permeable, with club)",fromFilters,Sports and games,Sports and games
Outdoors and natural environment; Spring (water),Springs and wells,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Sports and games; Horse riding centres,Stables,fromFilters,Sports and games,Sports and games
Sports and games; Horse stables and paddocks,Stables,fromFilters,Sports and games,Sports and games
Water; Detention and retention basins,Stormwater basins,fromFilters,Water,Water
Amenity; Street lamp,Street lights,fromFilters,Amenity,Amenity
Amenity; Flood defence,Structural defences,fromFilters,Amenity,Amenity
Water; Spillway,Structural defences,fromFilters,Water,Water
Public transport; Subway stop,Subway stations,fromFilters,Public transport,Public transport
Food retail; Supermarket,Supermarkets,fromFilters,Food retail,Food retail
Retail; Market,Supermarkets,fromFilters,Retail,Retail
Amenity; Automatic number plate reader,Surveillance cameras,fromFilters,Amenity,Amenity
Amenity; Surveillance camera or CCTV,Surveillance cameras,fromFilters,Amenity,Amenity
Traffic management; Traffic camera (live),Surveillance cameras,fromFilters,Traffic management,Traffic management
Hospitality; Takeaways,Takeaways,fromFilters,Hospitality,Hospitality
Public transport; Taxi rank,Taxi ranks,fromFilters,Public transport,Public transport
Telecommunications; Relay station,Telecommunications towers,fromFilters,Telecommunications,Telecommunications
Telecommunications; Tower,Telecommunications towers,fromFilters,Telecommunications,Telecommunications
Telecommunications; Exchange,Telephone exchanges,fromFilters,Telecommunications,Telecommunications
Telecommunications; Telephone exchanges,Telephone exchanges,fromFilters,Telecommunications,Telecommunications
Amenity; Toll booth,Toll booths and weighbridges,fromFilters,Amenity,Amenity
Transport infrastructure; Check points and weighbridges,Toll booths and weighbridges,fromFilters,Transport infrastructure,Transport infrastructure
Business and commerce; Tourist information offices and tourist boards,Tourism offices,fromFilters,Business and commerce,Business and commerce
Traffic management; Calming,Traffic calming measures,fromFilters,Traffic management,Traffic management
Traffic management; Speed camera,Traffic calming measures,fromFilters,Traffic management,Traffic management
Historic; Railway station or platform,Train stations (major),fromFilters,Historic,Historic
Public transport; Rail station,Train stations (major),fromFilters,Public transport,Public transport
Training; Occupational,Training centres,fromFilters,Training,Training
Training; Occupational and networking,Training centres,fromFilters,Training,Training
Training; Private tuition (children),Training centres,fromFilters,Training,Training
Public transport; Tram stop,Tram or ferry stops,fromFilters,Public transport,Public transport
Buildings; Lighthouse,Transport providers and control centres,fromFilters,Buildings,Buildings
Buildings; Lighthouses,Transport providers and control centres,fromFilters,Buildings,Buildings
Business and commerce; Transport operator offices,Transport providers and control centres,fromFilters,Business and commerce,Business and commerce
Logistics; Administrative office,Transport providers and control centres,fromFilters,Logistics,Logistics
Public transport; Taxi office,Transport providers and control centres,fromFilters,Public transport,Public transport
Traffic management; Air traffic control,Transport providers and control centres,fromFilters,Traffic management,Traffic management
Traffic management; Control centre,Transport providers and control centres,fromFilters,Traffic management,Traffic management
Business and commerce; Travel agency,Travel agencies,fromFilters,Business and commerce,Business and commerce
Residential; Traveller,Traveller sites,fromFilters,Residential,Residential
Transport infrastructure; Passageways and tunnels through buildings,Tunnels,fromFilters,Transport infrastructure,Transport infrastructure
Transport infrastructure; Tunnel,Tunnels,fromFilters,Transport infrastructure,Transport infrastructure
Social facility; Trade and labour unions,Union offices,fromFilters,Social facility,Social facility
Trades and services; Electrician,Utility trades,fromFilters,Trades and services,Trades and services
Trades and services; Plumbing and HVAC,Utility trades,fromFilters,Trades and services,Trades and services
Trades and services; Telecoms,Utility trades,fromFilters,Trades and services,Trades and services
Buildings; Council depot,Vehicle depots,fromFilters,Buildings,Buildings
Buildings; Depots,Vehicle depots,fromFilters,Buildings,Buildings
Governance; Police garage,Vehicle depots,fromFilters,Governance,Governance
Transport infrastructure; Rail depots,Vehicle depots,fromFilters,Transport infrastructure,Transport infrastructure
Vehicles; Depot,Vehicle depots,fromFilters,Vehicles,Vehicles
Vehicles; Pound,Vehicle impounds,fromFilters,Vehicles,Vehicles
Amenity; Car wash,Vehicle maintenance services,fromFilters,Amenity,Amenity
Amenity; Fuel station,Vehicle maintenance services,fromFilters,Amenity,Amenity
Vehicles; Maintenance and repair,Vehicle maintenance services,fromFilters,Vehicles,Vehicles
Vehicles; Rental,Vehicle rental services,fromFilters,Vehicles,Vehicles
Amenity; Bike rental point,Vehicle sharing points,fromFilters,Amenity,Amenity
Vehicles; Car share,Vehicle sharing points,fromFilters,Vehicles,Vehicles
Animal; Veterinarian,Veterinary practices,fromFilters,Animal,Animal
University; Veterinary college,Veterinary practices,fromFilters,University,University
Waste management; Administrative office,Waste collection service offices,fromFilters,Waste management,Waste management
Waste management; Collection,Waste collection service offices,fromFilters,Waste management,Waste management
Waste management; Sorting facility,Waste sorting centres,fromFilters,Waste management,Waste management
Buildings; Pumping station,Wastewater pumping stations,fromFilters,Buildings,Buildings
Wastewater; Sanitary dump,Wastewater tanks,fromFilters,Wastewater,Wastewater
Wastewater; Treatment works,Wastewater treatment works,fromFilters,Wastewater,Wastewater
Wastewater; Treatment works and facilities,Wastewater treatment works,fromFilters,Wastewater,Wastewater
Utilities office; Water,Water provider offices,fromFilters,Utilities office,Utilities office
Water; Storage tower,Water tanks and towers,fromFilters,Water,Water
Water; Treatment works and facilities,Water treatment works,fromFilters,Water,Water
Outdoors and natural environment; Wetland,Wetlands,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Outdoors and natural environment; Wetland tidal flat,Wetlands,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Industry; Builders merchant,Wholesale retail,fromFilters,Industry,Industry
Retail; Industry bulk goods,Wholesale retail,fromFilters,Retail,Retail
Retail; Wholesale,Wholesale retail,fromFilters,Retail,Retail
Attractions; Zoological garden,Zoos,fromFilters,Attractions,Attractions
Absorption tower,Absorption towers,fromValidation,Absorption tower,Environmental manaagement
Food production and horticulture; Aquaculture,Aquaculture,fromValidation,Food production and horticulture,Food production and horticulture
Outdoor facility; Training grounds,Armed forces training grounds,fromValidation,Outdoor facility,Sports and games
Attractions; Visitor centre,Attractions,fromValidation,Attractions,Attractions
Bank headquarters,Bank headquarters,fromValidation,Bank headquarters,Business and commerce
Banks,Banks,fromValidation,Banks,Business and commerce
Buildings; Unspecified,Buildings (other),fromValidation,Buildings,Buildings
Private clubs,Community centres,fromValidation,Private clubs,Community centres
Exhibition centres; Animal racing,Conference and exhibition centres (animal racing),fromValidation,Exhibition centres,Attractions
Creative spaces; Other,Creative spaces,fromValidation,Creative spaces,Creative spaces
Traffic crossings; Unspecified,Crossings,fromValidation,Traffic crossings,Traffic crossings
Gas network; Pipes,Gas pipelines,fromValidation,Gas network,Gas network
Gas provider offices,Gas provider offices,fromValidation,Gas provider offices,Utilities office
Industry; Harbour,Harbours,fromValidation,Industry,Industry
Historic; Unspecified,Historic points of interest,fromValidation,Historic,Historic
Home and outdoor maintenance services,Home and outdoor maintenance services,fromValidation,Home and outdoor maintenance services,Trades and services
Healthcare; A&E,Hospitals,fromValidation,Healthcare,Healthcare
Telecommunications; Cable,ICT cables and wireless communication modes,fromValidation,Telecommunications,Telecommunications
Manufacturing (consumer discretionary),Manufacturing (consumer discretionary),fromValidation,Manufacturing (consumer discretionary),Manufacturing
Food production and horticulture; Manufacturing,Manufacturing (consumer staples),fromValidation,Food production and horticulture,Food production and horticulture
Manufacturing; Healthcare,Manufacturing (healthcare),fromValidation,Manufacturing,Manufacturing
Manufacturing; IT hardware,Manufacturing (IT hardware),fromValidation,Manufacturing,Manufacturing
Mental health facility; Healthcare,Mental health services,fromValidation,Mental health facility,Healthcare
Attractions; Auditoriums,Music and theatre venues,fromValidation,Attractions,Attractions
Business and commerce; Unspecified,Offices (other),fromValidation,Business and commerce,Business and commerce
Industry; Manufacturing,Offices (other),fromValidation,Industry,Industry
Industry; Unspecified,Offices (other),fromValidation,Industry,Industry
Governance; Parliamentary buildings,Parliamentary buildings,fromValidation,Governance,Governance
Governance; Probation offices,Police stations,fromValidation,Governance,Governance
Transport infrastructure; Subway line,Roads (major) and railways,fromValidation,Transport infrastructure,Transport infrastructure
Transport infrastructure; Tram line,Roads (major) and railways,fromValidation,Transport infrastructure,Transport infrastructure
Sports facilities (indoor),Sports facilities (indoor),fromValidation,Sports facilities (indoor),Sports and games
Town square,Town squares,fromValidation,Town square,Amenity
Public transport; Ferry landing,Tram or ferry stops,fromValidation,Public transport,Public transport
"Transport infrastructure; Light & heavy rail depots, yards and sidings",Vehicle depots,fromValidation,Transport infrastructure,Transport infrastructure
"Vehicles; Light & heavy rail depots, yards and sidings",Vehicle depots,fromValidation,Vehicles,Vehicles
Wastewater; Pipes,Wastewater pipes,fromValidation,Wastewater,Wastewater
Buildings; Pumping station (water),Water pumping stations,fromValidation,Buildings,Buildings
"Airbase (Aerodrome, terminal and gates)",Air bases,fromPostProcessing,"Airbase (Aerodrome, terminal and gates)",Military
Airbase (Infrastructure),Air bases,fromPostProcessing,Airbase (Infrastructure),Military
"Major airport; Aerodrome, terminal and gates (Building outline)",Airports (major),fromPostProcessing,Major airport,Transport infrastructure
Major airports (simplified),Airports (major),fromPostProcessing,Major airports (simplified),Transport infrastructure
"Minor airport; Aerodrome, terminal and gates (Airport outline)",Airports (major),fromPostProcessing,Minor airport,Transport infrastructure
"Transport infrastructure; Major airport apron, runways and taxiways",Airports (major),fromPostProcessing,Transport infrastructure,Transport infrastructure
Major helipads (simplified),Airports (minor),fromPostProcessing,Major helipads (simplified),Transport infrastructure
"Minor airport; Aerodrome, terminal and gates (Airport outline)",Airports (minor),fromPostProcessing,Minor airport,Transport infrastructure
"Minor airport; Aerodrome, terminal and gates (Building outline)",Airports (minor),fromPostProcessing,Minor airport,Transport infrastructure
Minor airports (simplified),Airports (minor),fromPostProcessing,Minor airports (simplified),Transport infrastructure
"Transport infrastructure; Minor airport apron, runways and taxiways",Airports (minor),fromPostProcessing,Transport infrastructure,Transport infrastructure
Minor helipads (simplified),Helipads,fromPostProcessing,Minor helipads (simplified),Transport infrastructure
Sports and games; Golf,"Sports facilities (outdoor, permeable, with club)",fromPostProcessing,Sports and games,Sports and games
Public transport; Rail station (Major),Train stations (major),fromPostProcessing,Public transport,Public transport
Public transport; Rail station (Minor),Train stations (minor),fromPostProcessing,Public transport,Public transport
NA,Airplanes and helicopters,alwaysIncluded,NA,NA
NA,Bicycles,alwaysIncluded,NA,NA
NA,Boats,alwaysIncluded,NA,NA
NA,Buses and trams,alwaysIncluded,NA,NA
NA,Emergency vehicles,alwaysIncluded,NA,NA
NA,Food banks,alwaysIncluded,NA,NA
NA,Gas pipelines,alwaysIncluded,NA,NA
NA,Homeless shelters,alwaysIncluded,NA,NA
NA,ICT cables and wireless communication modes,alwaysIncluded,NA,NA
NA,Lorries,alwaysIncluded,NA,NA
NA,Maintenance vehicles,alwaysIncluded,NA,NA
NA,Personal devices,alwaysIncluded,NA,NA
NA,Potable water pipes,alwaysIncluded,NA,NA
NA,Private motor vehicles,alwaysIncluded,NA,NA
NA,Subway trains,alwaysIncluded,NA,NA
NA,Taxis,alwaysIncluded,NA,NA
NA,Telecommunications towers,alwaysIncluded,NA,NA
NA,Town squares,alwaysIncluded,NA,NA
NA,Trains,alwaysIncluded,NA,NA
NA,Traveller sites,alwaysIncluded,NA,NA
NA,Wastewater pipes,alwaysIncluded,NA,NA
NA,Wildlife,alwaysIncluded,NA,NA
